feature_1,feture_2,target
0,0.3745401188473625,10.0
1,0.3745401188473625,11.5
2,0.3745401188473625,12.0
3,0.3745401188473625,14.5
4,0.3745401188473625,22.0
5,0.3745401188473625,37.5
6,0.3745401188473625,64.0
7,0.3745401188473625,104.5
8,0.3745401188473625,162.0
9,0.3745401188473625,239.5
10,0.3745401188473625,340.0
11,0.3745401188473625,466.5
12,0.3745401188473625,622.0
13,0.3745401188473625,809.5
14,0.3745401188473625,1032.0
15,0.3745401188473625,1292.5
16,0.3745401188473625,1594.0
17,0.3745401188473625,1939.5
18,0.3745401188473625,2332.0
19,0.3745401188473625,2774.5
20,0.3745401188473625,3270.0
21,0.3745401188473625,3821.5
22,0.3745401188473625,4432.0
23,0.3745401188473625,5104.5
24,0.3745401188473625,5842.0
25,0.3745401188473625,6647.5
26,0.3745401188473625,7524.0
27,0.3745401188473625,8474.5
28,0.3745401188473625,9502.0
29,0.3745401188473625,10609.5
30,0.3745401188473625,11800.0
31,0.3745401188473625,13076.5
32,0.3745401188473625,14442.0
33,0.3745401188473625,15899.5
34,0.3745401188473625,17452.0
35,0.3745401188473625,19102.5
36,0.3745401188473625,20854.0
37,0.3745401188473625,22709.5
38,0.3745401188473625,24672.0
39,0.3745401188473625,26744.5
40,0.3745401188473625,28930.0
41,0.3745401188473625,31231.5
42,0.3745401188473625,33652.0
43,0.3745401188473625,36194.5
44,0.3745401188473625,38862.0
45,0.3745401188473625,41657.5
46,0.3745401188473625,44584.0
47,0.3745401188473625,47644.5
48,0.3745401188473625,50842.0
49,0.3745401188473625,54179.5
50,0.3745401188473625,57660.0
51,0.3745401188473625,61286.5
52,0.3745401188473625,65062.0
53,0.3745401188473625,68989.5
54,0.3745401188473625,73072.0
55,0.3745401188473625,77312.5
56,0.3745401188473625,81714.0
57,0.3745401188473625,86279.5
58,0.3745401188473625,91012.0
59,0.3745401188473625,95914.5
60,0.3745401188473625,100990.0
61,0.3745401188473625,106241.5
62,0.3745401188473625,111672.0
63,0.3745401188473625,117284.5
64,0.3745401188473625,123082.0
65,0.3745401188473625,129067.5
66,0.3745401188473625,135244.0
67,0.3745401188473625,141614.5
68,0.3745401188473625,148182.0
69,0.3745401188473625,154949.5
70,0.3745401188473625,161920.0
71,0.3745401188473625,169096.5
72,0.3745401188473625,176482.0
73,0.3745401188473625,184079.5
74,0.3745401188473625,191892.0
75,0.3745401188473625,199922.5
76,0.3745401188473625,208174.0
77,0.3745401188473625,216649.5
78,0.3745401188473625,225352.0
79,0.3745401188473625,234284.5
80,0.3745401188473625,243450.0
81,0.3745401188473625,252851.5
82,0.3745401188473625,262492.0
83,0.3745401188473625,272374.5
84,0.3745401188473625,282502.0
85,0.3745401188473625,292877.5
86,0.3745401188473625,303504.0
87,0.3745401188473625,314384.5
88,0.3745401188473625,325522.0
89,0.3745401188473625,336919.5
90,0.3745401188473625,348580.0
91,0.3745401188473625,360506.5
92,0.3745401188473625,372702.0
93,0.3745401188473625,385169.5
94,0.3745401188473625,397912.0
95,0.3745401188473625,410932.5
96,0.3745401188473625,424234.0
97,0.3745401188473625,437819.5
98,0.3745401188473625,451692.0
99,0.3745401188473625,465854.5
100,0.3745401188473625,480310.0
101,0.3745401188473625,495061.5
102,0.3745401188473625,510112.0
103,0.3745401188473625,525464.5
104,0.3745401188473625,541122.0
105,0.3745401188473625,557087.5
106,0.3745401188473625,573364.0
107,0.3745401188473625,589954.5
108,0.3745401188473625,606862.0
109,0.3745401188473625,624089.5
110,0.3745401188473625,641640.0
111,0.3745401188473625,659516.5
112,0.3745401188473625,677722.0
113,0.3745401188473625,696259.5
114,0.3745401188473625,715132.0
115,0.3745401188473625,734342.5
116,0.3745401188473625,753894.0
117,0.3745401188473625,773789.5
118,0.3745401188473625,794032.0
119,0.3745401188473625,814624.5
120,0.3745401188473625,835570.0
121,0.3745401188473625,856871.5
122,0.3745401188473625,878532.0
123,0.3745401188473625,900554.5
124,0.3745401188473625,922942.0
125,0.3745401188473625,945697.5
126,0.3745401188473625,968824.0
127,0.3745401188473625,992324.5
128,0.3745401188473625,1016202.0
129,0.3745401188473625,1040459.5
130,0.3745401188473625,1065100.0
131,0.3745401188473625,1090126.5
132,0.3745401188473625,1115542.0
133,0.3745401188473625,1141349.5
134,0.3745401188473625,1167552.0
135,0.3745401188473625,1194152.5
136,0.3745401188473625,1221154.0
137,0.3745401188473625,1248559.5
138,0.3745401188473625,1276372.0
139,0.3745401188473625,1304594.5
140,0.3745401188473625,1333230.0
141,0.3745401188473625,1362281.5
142,0.3745401188473625,1391752.0
143,0.3745401188473625,1421644.5
144,0.3745401188473625,1451962.0
145,0.3745401188473625,1482707.5
146,0.3745401188473625,1513884.0
147,0.3745401188473625,1545494.5
148,0.3745401188473625,1577542.0
149,0.3745401188473625,1610029.5
150,0.3745401188473625,1642960.0
151,0.3745401188473625,1676336.5
152,0.3745401188473625,1710162.0
153,0.3745401188473625,1744439.5
154,0.3745401188473625,1779172.0
155,0.3745401188473625,1814362.5
156,0.3745401188473625,1850014.0
157,0.3745401188473625,1886129.5
158,0.3745401188473625,1922712.0
159,0.3745401188473625,1959764.5
160,0.3745401188473625,1997290.0
161,0.3745401188473625,2035291.5
162,0.3745401188473625,2073772.0
163,0.3745401188473625,2112734.5
164,0.3745401188473625,2152182.0
165,0.3745401188473625,2192117.5
166,0.3745401188473625,2232544.0
167,0.3745401188473625,2273464.5
168,0.3745401188473625,2314882.0
169,0.3745401188473625,2356799.5
170,0.3745401188473625,2399220.0
171,0.3745401188473625,2442146.5
172,0.3745401188473625,2485582.0
173,0.3745401188473625,2529529.5
174,0.3745401188473625,2573992.0
175,0.3745401188473625,2618972.5
176,0.3745401188473625,2664474.0
177,0.3745401188473625,2710499.5
178,0.3745401188473625,2757052.0
179,0.3745401188473625,2804134.5
180,0.3745401188473625,2851750.0
181,0.3745401188473625,2899901.5
182,0.3745401188473625,2948592.0
183,0.3745401188473625,2997824.5
184,0.3745401188473625,3047602.0
185,0.3745401188473625,3097927.5
186,0.3745401188473625,3148804.0
187,0.3745401188473625,3200234.5
188,0.3745401188473625,3252222.0
189,0.3745401188473625,3304769.5
190,0.3745401188473625,3357880.0
191,0.3745401188473625,3411556.5
192,0.3745401188473625,3465802.0
193,0.3745401188473625,3520619.5
194,0.3745401188473625,3576012.0
195,0.3745401188473625,3631982.5
196,0.3745401188473625,3688534.0
197,0.3745401188473625,3745669.5
198,0.3745401188473625,3803392.0
199,0.3745401188473625,3861704.5
200,0.3745401188473625,3920610.0
201,0.3745401188473625,3980111.5
202,0.3745401188473625,4040212.0
